runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_resp.rt,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,image_4.started,image_4.stopped,text_10.started,text_10.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,3,4,28,5,,,,,,,,,,,,,,,,,1,238.21330617321655,None,space,1,238.21330617321655,None,239.51313426112756,None,239.51313426112756,None,f,1,0.9936366709880531,239.51313426112756,None,None,239.51313426112756,None,0.5973532791249454,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,3,5,29,2,,,,,,,,,,,,,,,,,0,240.529684019275,None,None,1,240.529684019275,None,242.2463903450407,None,242.2463903450407,None,j,1,1.2400580160319805,242.2463903450407,None,None,242.2463903450407,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,3,6,30,1,,,,,,,,,,,,,,,,,0,243.51304099103436,None,None,1,243.51304099103436,None,244.9457925320603,None,244.9457925320603,None,f,1,0.8503576330840588,244.9457925320603,None,None,244.9457925320603,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,3,7,31,7,,,,,,,,,,,,,,,,,0,245.81304776202887,None,None,1,245.81304776202887,None,247.41335773421451,None,247.41335773421451,None,j,1,0.6280211405828595,247.41335773421451,None,None,247.41335773421451,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,4,0,32,7,,,,,,,,,,,,,,,,,0,248.06319267628714,None,None,1,248.06319267628714,None,249.5299027361907,None,249.5299027361907,None,j,1,0.8996436567977071,249.5299027361907,None,None,249.5299027361907,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,4,1,33,6,,,,,,,,,,,,,,,,,0,250.4462780850008,None,None,1,250.4462780850008,None,251.82985523343086,None,251.82985523343086,None,j,1,0.38576916698366404,251.82985523343086,None,None,251.82985523343086,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,4,2,34,3,,,,,,,,,,,,,,,,,0,252.246370179113,None,None,1,252.246370179113,None,253.6797269009985,None,253.6797269009985,None,j,1,0.7919856407679617,253.6797269009985,None,None,253.6797269009985,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,4,3,35,3,,,,,,,,,,,,,,,,,0,254.49642852600664,None,None,1,254.49642852600664,None,256.0132317082025,None,256.0132317082025,None,j,1,0.5631012422963977,256.0132317082025,None,None,256.0132317082025,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,4,4,36,4,,,,,,,,,,,,,,,,,1,256.5964905223809,None,space,1,256.5964905223809,None,257.9466424593702,None,257.9466424593702,None,f,1,0.7271592291072011,257.9466424593702,None,None,257.9466424593702,None,0.5383548960089684,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,4,5,37,6,,,,,,,,,,,,,,,,,1,258.69659454142675,None,space,1,258.69659454142675,None,260.0967534822412,None,260.0967534822412,None,j,1,0.9371185433119535,260.0967534822412,None,None,260.0967534822412,None,0.5381605620495975,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,4,6,38,5,,,,,,,,,,,,,,,,,1,261.06322200829163,None,space,1,261.06322200829163,None,262.5131424642168,None,262.5131424642168,None,j,0,0.7385204690508544,262.5131424642168,None,None,262.5131424642168,None,0.6494387667626143,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,4,7,39,3,,,,,,,,,,,,,,,,,0,263.27967186039314,None,None,1,263.27967186039314,None,264.9964973949827,None,264.9964973949827,None,j,1,0.7032487620599568,264.9964973949827,None,None,264.9964973949827,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,5,0,40,1,,,,,,,,,,,,,,,,,0,265.7298034671694,None,None,1,265.7298034671694,None,267.39670643629506,None,267.39670643629506,None,j,0,0.9837907310575247,267.39670643629506,None,None,267.39670643629506,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,5,1,41,1,,,,,,,,,,,,,,,,,1,268.3968664309941,None,space,1,268.3968664309941,None,269.7132674632594,None,269.7132674632594,None,f,1,0.7136375908739865,269.7132674632594,None,None,269.7132674632594,None,0.9005518429912627,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,5,2,42,5,,,,,,,,,,,,,,,,,0,270.446576571092,None,None,1,270.446576571092,None,271.76319065736607,None,271.76319065736607,None,f,1,0.9858067678287625,271.76319065736607,None,None,271.76319065736607,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,5,3,43,2,,,,,,,,,,,,,,,,,0,272.7799452850595,None,None,1,272.7799452850595,None,274.12960786605254,None,274.12960786605254,None,j,1,0.6221104920841753,274.12960786605254,None,None,274.12960786605254,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,5,4,44,0,,,,,,,,,,,,,,,,,1,274.7799244890921,None,space,1,274.7799244890921,None,276.2632852010429,None,276.2632852010429,None,f,1,1.039908966049552,276.2632852010429,None,None,276.2632852010429,None,0.515880408231169,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,5,5,45,2,,,,,,,,,,,,,,,,,0,277.3302220152691,None,None,1,277.3302220152691,None,278.87977725220844,None,278.87977725220844,None,j,1,0.659229988232255,278.87977725220844,None,None,278.87977725220844,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,5,6,46,4,,,,,,,,,,,,,,,,,0,279.5634671743028,None,None,1,279.5634671743028,None,281.0466878223233,None,281.0466878223233,None,f,1,1.1548574203625321,281.0466878223233,None,None,281.0466878223233,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,5,7,47,6,,,,,,,,,,,,,,,,,0,282.2301188400015,None,None,1,282.2301188400015,None,283.563122658059,None,283.563122658059,None,j,1,0.9944291319698095,283.563122658059,None,None,283.563122658059,None,,,,,,,1,2,2020_Dec_29_1001,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.5801572580822,None,284.5801572580822,None,,,,,,,,
