runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,fix_resp_2.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,3,5,29,7,,,,,,,,,,,,,,,,,,,,,0,135.29204788399989,None,None,1,135.29204788399989,None,136.7420034339998,None,136.7420034339998,None,f,0,0.2832697940000344,136.7420034339998,None,None,136.7420034339998,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,3,6,30,0,,,,,,,,,,,,,,,,,,,,,1,137.04170401099987,None,space,1,137.04170401099987,None,138.758052788,None,138.758052788,None,f,1,0.5499702419999721,138.758052788,None,None,138.758052788,None,0.4197977010001068,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,3,7,31,2,,,,,,,,,,,,,,,,,,,,,1,139.32541174599987,None,space,1,139.32541174599987,None,140.8420181429999,None,140.8420181429999,None,f,0,0.36285074900001746,140.8420181429999,None,None,140.8420181429999,None,0.5360306729999138,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,4,0,32,5,,,,,,,,,,,,,,,,,,,,,0,141.22506241099995,None,None,1,141.22506241099995,None,142.75871316599978,None,142.75871316599978,None,f,1,0.3867632690000846,142.75871316599978,None,None,142.75871316599978,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,4,1,33,2,,,,,,,,,,,,,,,,,,,,,0,143.17500815699987,None,None,1,143.17500815699987,None,144.45872901199982,None,144.45872901199982,None,f,0,0.6731368060000023,144.45872901199982,None,space,144.45872901199982,None,,0.31864831100006086,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,4,2,34,7,,,,,,,,,,,,,,,,,,,,,0,145.15860889499982,None,None,1,145.15860889499982,None,146.458755097,None,146.458755097,None,f,0,0.3143079320000197,146.458755097,None,None,146.458755097,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,4,3,35,5,,,,,,,,,,,,,,,,,,,,,0,146.79174088799982,None,None,1,146.79174088799982,None,148.50877706699998,None,148.50877706699998,None,f,1,0.2570758049998858,148.50877706699998,None,None,148.50877706699998,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,4,4,36,5,,,,,,,,,,,,,,,,,,,,,1,148.79179209799986,None,space,1,148.79179209799986,None,150.1919715449999,None,150.1919715449999,None,f,1,0.27107295299992984,150.1919715449999,None,None,150.1919715449999,None,0.5032908250000219,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,4,5,37,2,,,,,,,,,,,,,,,,,,,,,0,150.49176867899996,None,None,1,150.49176867899996,None,151.79216258899987,None,151.79216258899987,None,f,0,0.25867634999985967,151.79216258899987,None,None,151.79216258899987,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,4,6,38,5,,,,,,,,,,,,,,,,,,,,,1,152.07512383499989,None,space,1,152.07512383499989,None,153.408824182,None,153.408824182,None,f,1,0.35472732599987467,153.408824182,None,None,153.408824182,None,0.5566035619999639,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,4,7,39,1,,,,,,,,,,,,,,,,,,,,,0,153.79180168699986,None,None,1,153.79180168699986,None,155.22547253899984,None,155.22547253899984,None,f,1,0.362351604999958,155.22547253899984,None,None,155.22547253899984,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,5,0,40,7,,,,,,,,,,,,,,,,,,,,,0,155.60849114099983,None,None,1,155.60849114099983,None,157.09211856299999,None,157.09211856299999,None,f,0,0.38439635200006705,157.09211856299999,None,None,157.09211856299999,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,5,1,41,6,,,,,,,,,,,,,,,,,,,,,0,157.5088591829999,None,None,1,157.5088591829999,None,158.89216995499987,None,158.89216995499987,None,f,0,0.2459257410000646,158.89216995499987,None,None,158.89216995499987,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,5,2,42,6,,,,,,,,,,,,,,,,,,,,,0,159.15840839899988,None,None,1,159.15840839899988,None,160.55884953399982,None,160.55884953399982,None,f,0,0.4324526660000174,160.55884953399982,None,None,160.55884953399982,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,5,3,43,4,,,,,,,,,,,,,,,,,,,,,1,161.00863161999996,None,space,1,161.00863161999996,None,162.39201033799986,None,162.39201033799986,None,f,1,0.7181911200000286,162.39201033799986,None,space,162.39201033799986,None,0.5158033499999419,0.4402508770001532,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,5,4,44,7,,,,,,,,,,,,,,,,,,,,,1,163.14215780299992,None,space,1,163.14215780299992,None,164.7088062209998,None,164.7088062209998,None,f,0,0.4916565780001747,164.7088062209998,None,None,164.7088062209998,None,0.7688125160000254,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,5,5,45,3,,,,,,,,,,,,,,,,,,,,,0,165.2255628429998,None,None,1,165.2255628429998,None,166.8252430299999,None,166.8252430299999,None,f,0,0.2802801020000061,166.8252430299999,None,None,166.8252430299999,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,5,6,46,1,,,,,,,,,,,,,,,,,,,,,0,167.12514223199992,None,None,1,167.12514223199992,None,168.69204430399986,None,168.69204430399986,None,f,1,0.16271199299990258,168.69204430399986,None,None,168.69204430399986,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,5,7,47,5,,,,,,,,,,,,,,,,,,,,,1,168.87515818099996,None,space,1,168.87515818099996,None,170.52563777599994,None,170.52563777599994,None,f,1,0.38789415200017174,170.52563777599994,None,None,170.52563777599994,None,0.5086762789999284,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,181.69203845499987,None,j,1,3.712059543000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
