runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0.05,0.05,54.505468542221934,None,j,1,0.847482253331691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_1218,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,0,0,0,0,0,0,0,4,,,,,,,,,,,,0,j,1,0.5673288721591234,None,1,63.62376503832638,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_1218,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,0,0,0,0,0,1,1,5,,,,,,,,,,,,1,f,1,0.6770295388996601,space,1,70.92225006129593,None,0.12915452290326357,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_1218,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,0,0,0,0,0,2,2,0,,,,,,,,,,,,1,f,1,0.8069160510785878,None,0,78.29065660433844,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_1218,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,0,0,0,0,0,3,3,1,,,,,,,,,,,,0,f,1,0.7256427202373743,None,1,85.93864833004773,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_1218,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,0,0,0,0,0,4,4,3,,,,,,,,,,,,0,j,1,0.8131985762156546,None,1,93.65562113001943,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_1218,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,0,0,0,0,0,5,5,2,,,,,,,,,,,,0,j,1,0.7154785371385515,None,1,101.3225648519583,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_1218,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,1,106.13858359027654,None,None,1,106.13858359027654,None,107.40551925031468,None,107.40551925031468,None,j,1,1.3398948861286044,107.40551925031468,None,None,107.40551925031468,None,,,1,2,2020_Dec_29_1218,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,0,108.77227820502594,None,None,1,108.77227820502594,None,110.40542987640947,None,110.40542987640947,None,f,1,0.8863058476708829,110.40542987640947,None,None,110.40542987640947,None,,,1,2,2020_Dec_29_1218,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,0,111.32249788427725,None,None,1,111.32249788427725,None,112.98924922617152,None,112.98924922617152,None,j,1,0.9541336339898407,112.98924922617152,None,None,112.98924922617152,None,,,1,2,2020_Dec_29_1218,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,0,113.97261962201446,None,None,1,113.97261962201446,None,115.50581328803673,None,115.50581328803673,None,f,1,0.9508795184083283,115.50581328803673,None,None,115.50581328803673,None,,,1,2,2020_Dec_29_1218,global_local,2020.2.4,None,
