runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,fix_resp_2.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0.05,0.05,42.32410148717463,None,j,1,0.8163217450492084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,0,0,0,0,0,0,0,2,,,,,,,,,,,,0,f,1,0.7085957489907742,None,1,51.526352955028415,None,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,0,0,0,0,0,1,1,1,,,,,,,,,,,,1,j,1,0.7492630262859166,space,1,58.841161558870226,None,0.409368347376585,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,0,0,0,0,0,2,2,4,,,,,,,,,,,,0,f,1,1.0870758751407266,None,1,66.14148423681036,None,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,0,0,0,0,0,3,3,5,,,,,,,,,,,,0,f,1,0.7855042219161987,None,1,73.65801528794691,None,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,0,0,0,0,0,4,4,3,,,,,,,,,,,,1,f,1,0.6916159591637552,space,1,81.35787424305454,None,-0.588509411085397,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,0,0,0,0,0,5,5,0,,,,,,,,,,,,0,j,1,2.2439295733347535,None,1,89.0914586908184,None,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,124.27655352512375,None,None,1,124.27655352512375,None,125.5419989740476,None,125.5419989740476,None,f,1,1.4636005847714841,125.5419989740476,None,None,125.5419989740476,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,127.02497539808974,None,None,1,127.02497539808974,None,128.72478104382753,None,128.72478104382753,None,j,1,0.7274856641888618,128.72478104382753,None,None,128.72478104382753,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,0,129.47502618888393,None,None,1,129.47502618888393,None,131.0581962489523,None,131.0581962489523,None,f,0,0.6426060600206256,131.0581962489523,None,None,131.0581962489523,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
