0.3659 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
36.3674 	EXP 	Created imFeedback = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='imFeedback', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=512, units='height', win=Window(...))
36.3686 	EXP 	Created instructions_imageR2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='instructions_imageR2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.125, 0.75 ]), texRes=512, units='height', win=Window(...))
36.7466 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
37.1189 	EXP 	Created text_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_6', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
37.1201 	EXP 	Created trial_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='trial_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512, units='height', win=Window(...))
37.8641 	EXP 	Created allDone = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='allDone', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='You are all done. Thank you!', units='height', win=Window(...), wrapWidth=1)
37.8930 	WARNING 	t of last frame was 6962.17ms (=1/0)
37.8930 	EXP 	text_top: autoDraw = True
37.8930 	EXP 	text_bottom: autoDraw = True
37.8930 	EXP 	ccimage: autoDraw = True
37.9141 	WARNING 	t of last frame was 21.12ms (=1/47)
41.4354 	DATA 	Keypress: space
41.4459 	EXP 	ccimage: size = [0.42800000000000005, 0.2699]
41.4459 	EXP 	text_top: autoDraw = False
41.4459 	EXP 	text_bottom: autoDraw = False
41.4459 	EXP 	ccimage: autoDraw = False
41.4459 	EXP 	start_exp_text: autoDraw = True
48.9016 	DATA 	Keypress: space
48.9127 	WARNING 	t of last frame was 33.37ms (=1/29)
48.9127 	EXP 	start_exp_text: autoDraw = False
48.9127 	EXP 	Pinstructions_imageR1: image = 'Designs/design1_run1.png'
48.9127 	EXP 	Pinstructions_imageR1: autoDraw = True
50.7865 	DEBUG 	Read csv file with pandas: Designs/design1_run1.csv
50.7892 	DEBUG 	Clearing unnamed columns from Designs/design1_run1.csv
50.7901 	EXP 	Imported Designs/design1_run1.csv as conditions, 2 conditions, 6 params
50.7904 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
50.7907 	EXP 	New trial (rep=0, index=0): OrderedDict([('runID', 1), ('imgID', 7), ('stimLabel', 'smallSincon'), ('imFile', 'Stimuli/HofS2.bmp'), ('corr', 'j'), ('side', 'left')])
50.7930 	DATA 	Keypress: space
50.8144 	WARNING 	t of last frame was 32.88ms (=1/30)
50.8144 	EXP 	Pinstructions_imageR1: autoDraw = False
50.8144 	EXP 	text: color = 'orange (named)'
50.8144 	EXP 	text: autoDraw = True
52.1292 	EXP 	text: autoDraw = False
52.1292 	EXP 	text: autoDraw = False
52.1292 	EXP 	text_5: color = 'orange (named)'
52.1292 	EXP 	prac_image: pos = array([-0.17295,  0.     ])
52.1292 	EXP 	prac_image: size = array([0.17295, 0.17295])
52.1292 	EXP 	prac_image: image = 'Stimuli/HofS2.bmp'
52.1292 	EXP 	text_5: autoDraw = True
52.1292 	EXP 	prac_image: autoDraw = True
52.8873 	DATA 	Keypress: j
52.8958 	EXP 	text_5: autoDraw = False
52.8958 	EXP 	prac_image: autoDraw = False
52.8958 	EXP 	imFeedback: image = 'Stimuli/greenCheck.png'
52.8958 	EXP 	imFeedback: autoDraw = True
53.8819 	EXP 	New trial (rep=0, index=1): OrderedDict([('runID', 1), ('imgID', 1), ('stimLabel', 'smallHcongr'), ('imFile', 'Stimuli/HofH2.bmp'), ('corr', 'f'), ('side', 'left')])
53.8960 	EXP 	imFeedback: autoDraw = False
53.8960 	EXP 	imFeedback: autoDraw = False
53.8960 	EXP 	text: color = 'orange (named)'
53.8960 	EXP 	text: autoDraw = True
55.3628 	EXP 	text: autoDraw = False
55.3628 	EXP 	text: autoDraw = False
55.3628 	EXP 	text_5: color = 'orange (named)'
55.3628 	EXP 	prac_image: pos = array([-0.17295,  0.     ])
55.3628 	EXP 	prac_image: size = array([0.17295, 0.17295])
55.3628 	EXP 	prac_image: image = 'Stimuli/HofH2.bmp'
55.3628 	EXP 	text_5: autoDraw = True
55.3628 	EXP 	prac_image: autoDraw = True
56.1001 	DATA 	Keypress: f
56.1127 	EXP 	text_5: autoDraw = False
56.1127 	EXP 	prac_image: autoDraw = False
56.1127 	EXP 	imFeedback: image = 'Stimuli/greenCheck.png'
56.1127 	EXP 	imFeedback: autoDraw = True
57.1295 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
57.1294 	EXP 	imFeedback: autoDraw = False
57.1294 	EXP 	instructions_imageR1: image = 'Designs/design1_run1.png'
57.1294 	EXP 	instructions_imageR1: autoDraw = True
57.9344 	DATA 	Keypress: space
58.8329 	DEBUG 	Read csv file with pandas: Designs/design1_run1.csv
58.8343 	DEBUG 	Clearing unnamed columns from Designs/design1_run1.csv
58.8352 	EXP 	Imported Designs/design1_run1.csv as conditions, 4 conditions, 6 params
58.8355 	EXP 	Created sequence: fullRandom, trialTypes=4, nReps=12, seed=None
58.8359 	EXP 	New trial (rep=0, index=0): OrderedDict([('runID', 1), ('imgID', 3), ('stimLabel', 'smallHincon'), ('imFile', 'Stimuli/SofH2.bmp'), ('corr', 'f'), ('side', 'left')])
58.8380 	DATA 	Keypress: space
58.8457 	EXP 	instructions_imageR1: autoDraw = False
58.8457 	EXP 	text_2: color = 'orange (named)'
58.8457 	EXP 	text_2: autoDraw = True
60.1961 	EXP 	text_2: autoDraw = False
60.1961 	EXP 	text_2: autoDraw = False
60.1961 	EXP 	text_6: color = 'orange (named)'
60.1961 	EXP 	trial_image: pos = array([-0.17295,  0.     ])
60.1961 	EXP 	trial_image: size = array([0.17295, 0.17295])
60.1961 	EXP 	trial_image: image = 'Stimuli/SofH2.bmp'
60.1961 	EXP 	text_6: autoDraw = True
60.1961 	EXP 	trial_image: autoDraw = True
61.4017 	EXP 	New trial (rep=0, index=1): OrderedDict([('runID', 1), ('imgID', 1), ('stimLabel', 'smallHcongr'), ('imFile', 'Stimuli/HofH2.bmp'), ('corr', 'f'), ('side', 'left')])
61.4040 	DATA 	Keypress: j
61.4127 	EXP 	text_6: autoDraw = False
61.4127 	EXP 	trial_image: autoDraw = False
61.4127 	EXP 	text_2: color = 'pink (named)'
61.4127 	EXP 	text_2: autoDraw = True
62.6478 	DATA 	Keypress: space
62.8794 	EXP 	text_2: autoDraw = False
62.8794 	EXP 	text_2: autoDraw = False
62.8794 	EXP 	text_6: color = 'pink (named)'
62.8794 	EXP 	trial_image: pos = array([-0.17295,  0.     ])
62.8794 	EXP 	trial_image: size = array([0.17295, 0.17295])
62.8794 	EXP 	trial_image: image = 'Stimuli/HofH2.bmp'
62.8794 	EXP 	text_6: autoDraw = True
62.8794 	EXP 	trial_image: autoDraw = True
63.9513 	DATA 	Keypress: space
65.2641 	EXP 	New trial (rep=0, index=2): OrderedDict([('runID', 1), ('imgID', 3), ('stimLabel', 'smallHincon'), ('imFile', 'Stimuli/SofH2.bmp'), ('corr', 'f'), ('side', 'left')])
65.2660 	DATA 	Keypress: f
65.2794 	EXP 	text_6: autoDraw = False
65.2794 	EXP 	trial_image: autoDraw = False
65.2794 	EXP 	text_2: color = 'pink (named)'
65.2794 	EXP 	text_2: autoDraw = True
66.9961 	EXP 	text_2: autoDraw = False
66.9961 	EXP 	text_2: autoDraw = False
66.9961 	EXP 	text_6: color = 'pink (named)'
66.9961 	EXP 	trial_image: pos = array([-0.17295,  0.     ])
66.9961 	EXP 	trial_image: size = array([0.17295, 0.17295])
66.9961 	EXP 	trial_image: image = 'Stimuli/SofH2.bmp'
66.9961 	EXP 	text_6: autoDraw = True
66.9961 	EXP 	trial_image: autoDraw = True
67.6498 	EXP 	New trial (rep=0, index=3): OrderedDict([('runID', 1), ('imgID', 5), ('stimLabel', 'smallScongr'), ('imFile', 'Stimuli/SofS2.bmp'), ('corr', 'j'), ('side', 'left')])
67.6517 	DATA 	Keypress: f
67.6628 	EXP 	text_6: autoDraw = False
67.6628 	EXP 	trial_image: autoDraw = False
67.6628 	EXP 	text_2: color = 'pink (named)'
67.6628 	EXP 	text_2: autoDraw = True
68.9128 	EXP 	text_2: autoDraw = False
68.9128 	EXP 	text_2: autoDraw = False
68.9128 	EXP 	text_6: color = 'pink (named)'
68.9128 	EXP 	trial_image: pos = array([-0.17295,  0.     ])
68.9128 	EXP 	trial_image: size = array([0.17295, 0.17295])
68.9128 	EXP 	trial_image: image = 'Stimuli/SofS2.bmp'
68.9128 	EXP 	text_6: autoDraw = True
68.9128 	EXP 	trial_image: autoDraw = True
69.4821 	EXP 	New trial (rep=1, index=0): OrderedDict([('runID', 1), ('imgID', 5), ('stimLabel', 'smallScongr'), ('imFile', 'Stimuli/SofS2.bmp'), ('corr', 'j'), ('side', 'left')])
69.4841 	DATA 	Keypress: j
69.4962 	EXP 	text_6: autoDraw = False
69.4962 	EXP 	trial_image: autoDraw = False
69.4962 	EXP 	text_2: color = 'pink (named)'
69.4962 	EXP 	text_2: autoDraw = True
70.8459 	EXP 	text_2: autoDraw = False
70.8459 	EXP 	text_2: autoDraw = False
70.8459 	EXP 	text_6: color = 'pink (named)'
70.8459 	EXP 	trial_image: pos = array([-0.17295,  0.     ])
70.8459 	EXP 	trial_image: size = array([0.17295, 0.17295])
70.8459 	EXP 	trial_image: image = 'Stimuli/SofS2.bmp'
70.8459 	EXP 	text_6: autoDraw = True
70.8459 	EXP 	trial_image: autoDraw = True
71.2473 	EXP 	New trial (rep=1, index=1): OrderedDict([('runID', 1), ('imgID', 1), ('stimLabel', 'smallHcongr'), ('imFile', 'Stimuli/HofH2.bmp'), ('corr', 'f'), ('side', 'left')])
71.2494 	DATA 	Keypress: j
71.2625 	EXP 	text_6: autoDraw = False
71.2625 	EXP 	trial_image: autoDraw = False
71.2625 	EXP 	text_2: color = 'pink (named)'
71.2625 	EXP 	text_2: autoDraw = True
72.8958 	EXP 	text_2: autoDraw = False
72.8958 	EXP 	text_2: autoDraw = False
72.8958 	EXP 	text_6: color = 'pink (named)'
72.8958 	EXP 	trial_image: pos = array([-0.17295,  0.     ])
72.8958 	EXP 	trial_image: size = array([0.17295, 0.17295])
72.8958 	EXP 	trial_image: image = 'Stimuli/HofH2.bmp'
72.8958 	EXP 	text_6: autoDraw = True
72.8958 	EXP 	trial_image: autoDraw = True
73.7139 	EXP 	New trial (rep=1, index=2): OrderedDict([('runID', 1), ('imgID', 1), ('stimLabel', 'smallHcongr'), ('imFile', 'Stimuli/HofH2.bmp'), ('corr', 'f'), ('side', 'left')])
73.7158 	DATA 	Keypress: f
73.7292 	EXP 	text_6: autoDraw = False
73.7292 	EXP 	trial_image: autoDraw = False
73.7292 	EXP 	text_2: color = 'pink (named)'
73.7292 	EXP 	text_2: autoDraw = True
75.0792 	EXP 	text_2: autoDraw = False
75.0792 	EXP 	text_2: autoDraw = False
75.0792 	EXP 	text_6: color = 'pink (named)'
75.0792 	EXP 	trial_image: pos = array([-0.17295,  0.     ])
75.0792 	EXP 	trial_image: size = array([0.17295, 0.17295])
75.0792 	EXP 	trial_image: image = 'Stimuli/HofH2.bmp'
75.0792 	EXP 	text_6: autoDraw = True
75.0792 	EXP 	trial_image: autoDraw = True
75.6013 	EXP 	New trial (rep=1, index=3): OrderedDict([('runID', 1), ('imgID', 1), ('stimLabel', 'smallHcongr'), ('imFile', 'Stimuli/HofH2.bmp'), ('corr', 'f'), ('side', 'left')])
75.6036 	DATA 	Keypress: f
75.6129 	EXP 	text_6: autoDraw = False
75.6129 	EXP 	trial_image: autoDraw = False
75.6129 	EXP 	text_2: color = 'pink (named)'
75.6129 	EXP 	text_2: autoDraw = True
77.3129 	EXP 	text_2: autoDraw = False
77.3129 	EXP 	text_2: autoDraw = False
77.3129 	EXP 	text_6: color = 'pink (named)'
77.3129 	EXP 	trial_image: pos = array([-0.17295,  0.     ])
77.3129 	EXP 	trial_image: size = array([0.17295, 0.17295])
77.3129 	EXP 	trial_image: image = 'Stimuli/HofH2.bmp'
77.3129 	EXP 	text_6: autoDraw = True
77.3129 	EXP 	trial_image: autoDraw = True
77.9484 	EXP 	New trial (rep=2, index=0): OrderedDict([('runID', 1), ('imgID', 5), ('stimLabel', 'smallScongr'), ('imFile', 'Stimuli/SofS2.bmp'), ('corr', 'j'), ('side', 'left')])
77.9505 	DATA 	Keypress: f
77.9630 	EXP 	text_6: autoDraw = False
77.9630 	EXP 	trial_image: autoDraw = False
77.9630 	EXP 	text_2: color = 'pink (named)'
77.9630 	EXP 	text_2: autoDraw = True
79.3961 	EXP 	text_2: autoDraw = False
79.3961 	EXP 	text_2: autoDraw = False
79.3961 	EXP 	text_6: color = 'pink (named)'
79.3961 	EXP 	trial_image: pos = array([-0.17295,  0.     ])
79.3961 	EXP 	trial_image: size = array([0.17295, 0.17295])
79.3961 	EXP 	trial_image: image = 'Stimuli/SofS2.bmp'
79.3961 	EXP 	text_6: autoDraw = True
79.3961 	EXP 	trial_image: autoDraw = True
79.7991 	EXP 	New trial (rep=2, index=1): OrderedDict([('runID', 1), ('imgID', 7), ('stimLabel', 'smallSincon'), ('imFile', 'Stimuli/HofS2.bmp'), ('corr', 'j'), ('side', 'left')])
79.8015 	DATA 	Keypress: f
79.8129 	EXP 	text_6: autoDraw = False
79.8129 	EXP 	trial_image: autoDraw = False
79.8129 	EXP 	text_2: color = 'pink (named)'
79.8129 	EXP 	text_2: autoDraw = True
81.4461 	EXP 	text_2: autoDraw = False
81.4461 	EXP 	text_2: autoDraw = False
81.4461 	EXP 	text_6: color = 'pink (named)'
81.4461 	EXP 	trial_image: pos = array([-0.17295,  0.     ])
81.4461 	EXP 	trial_image: size = array([0.17295, 0.17295])
81.4461 	EXP 	trial_image: image = 'Stimuli/HofS2.bmp'
81.4461 	EXP 	text_6: autoDraw = True
81.4461 	EXP 	trial_image: autoDraw = True
81.8143 	EXP 	New trial (rep=2, index=2): OrderedDict([('runID', 1), ('imgID', 5), ('stimLabel', 'smallScongr'), ('imFile', 'Stimuli/SofS2.bmp'), ('corr', 'j'), ('side', 'left')])
81.8163 	DATA 	Keypress: f
81.8295 	EXP 	text_6: autoDraw = False
81.8295 	EXP 	trial_image: autoDraw = False
81.8295 	EXP 	text_2: color = 'pink (named)'
81.8295 	EXP 	text_2: autoDraw = True
82.9664 	DATA 	Keypress: escape
83.4250 	EXP 	window1: mouseVisible = True
83.4251 	DEBUG 	Saving data for global_local ExperimentHandler
83.4258 	INFO 	saved data to /Users/sophia/Documents/PycharmProjects/Global_Local_Study/data/_global_local_2020_Oct_25_1404.psydat
83.4271 	INFO 	saved data to '/Users/sophia/Documents/PycharmProjects/Global_Local_Study/data/_global_local_2020_Oct_25_1404.csv'
