runID,imgID,stimLabel,imFile,corr,side,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,X Scale,Y Scale,fixpR1,fix_respP1_1.keys,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp_2.keys,participant,design,position,date,expName,psychopyVersion,frameRate,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,0,0,0,3,0.05,0.05,0,None,f,0,1.8628788240021095,None,,1,2,2020_Nov_06_1833,global_local,2020.2.4,None,
,,,,,,,,,,,,1,,,,,,,,,,,,,
