X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fixR1,fix_resp1_1.keys,fix_resp1_1.corr,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fix_respP2_1.rt,key_resp_10.keys,key_resp_10.rt,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,repeats2.ran,fixR2,fix_resp2_1.keys,fix_resp2_1.corr,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,fix_resp_2.rt,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
,,,,,,,,,,,,,,,,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,space,1,f,1,1.5497,,5,4,44,5,1,0.65038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,space,1,j,1,0.949265,,5,5,45,2,1,0.617135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,1.586445,,5,6,46,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,8,largeSincon,Stimuli/SofH2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,1.465115,,5,7,47,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,j,1,1.66916,,j,1,1.366085,,1,,,,,,2,5,smallScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,0,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,f,1,1.90468,,0,,,,,,2,3,smallHincon,Stimuli/SofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,1,space,0,1,1,2,1,1.032745,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,f,1,1.60026,,1,,,,,,2,4,smallHincon,Stimuli/SofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,0,,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,f,1,2.782355,,0,,,,,,2,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,1,space,0,3,3,1,1,1.08722,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,j,1,1.332735,space,0,,,,,,2,8,smallSincon,Stimuli/HofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,0.49905,,,,,,,,,,,,,,0,,0,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,j,1,2.40166,,1,,,,,,2,6,smallScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,0,,0,5,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,space,6.51562,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,j,1,1.656905,,1,,,,,,2,6,smallScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,0,,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,j,1,1.08423,,0,,,,,,2,8,smallSincon,Stimuli/HofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,1,space,0,1,1,0,1,0.849315,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,j,1,1.601055,,1,,,,,,2,5,smallScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,0,,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,f,1,1.46578,,0,,,,,,2,4,smallHincon,Stimuli/SofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,1,space,0,3,3,3,1,0.73285,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,f,1,1.28789,,1,,,,,,2,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,0,space,0,4,4,5,1,1.219385,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,f,1,1.167535,,1,,,,,,2,2,smallHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,0,space,0,5,5,4,1,1.032385,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,space,15.417745,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,f,1,1.106965,,1,,,,,,2,4,smallHincon,Stimuli/SofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,0,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,j,1,1.331975,space,1,,,,,,2,8,smallSincon,Stimuli/HofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,1.73262,,,,,,,,,,,,,,1,,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,j,1,1.400185,,1,,,,,,2,7,smallSincon,Stimuli/HofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,0,,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,f,1,1.04932,space,1,,,,,,2,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,1.366955,,,,,,,,,,,,,,1,,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,j,1,1.07424,,1,,,,,,2,6,smallScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,0,,0,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,f,1,0.98608,,1,,,,,,2,2,smallHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,0,,0,5,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,space,4.46601,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,4,smallHincon,Stimuli/SofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,3.282765,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,0,0,5,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,2,smallHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,1.14987,,,,,,,,,,,,,,,,,,,,,,,1,space,1,0,1,1,4,1,0.85628,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,1.331945,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,2,2,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,8,smallSincon,Stimuli/HofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,1.01766,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,3,3,7,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,6,smallScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.9402,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,4,4,6,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7,smallSincon,Stimuli/HofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.75106,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,5,5,3,1,,,,,,,,,,,,
