runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,image_4.started,image_4.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,1,0,8,3,,,,,,,,,,,,,,,,,1,156.88301564240828,None,space,156.88301564240828,None,158.28316465532407,None,158.28316465532407,None,f,0,0.6949944472871721,158.28316465532407,None,None,158.28316465532407,None,0.6256825011223555,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,1,1,9,1,,,,,,,,,,,,,,,,,0,158.99995181616396,None,None,158.99995181616396,None,160.63311485620216,None,160.63311485620216,None,f,1,0.744135104585439,160.63311485620216,None,None,160.63311485620216,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,1,2,10,4,,,,,,,,,,,,,,,,,0,161.39983543101698,None,None,161.39983543101698,None,163.13343454897404,None,163.13343454897404,None,f,1,0.7901643039658666,163.13343454897404,None,None,163.13343454897404,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,1,3,11,1,,,,,,,,,,,,,,,,,0,163.9500716170296,None,None,163.9500716170296,None,165.59988753311336,None,165.59988753311336,None,f,1,0.6178036709316075,165.59988753311336,None,None,165.59988753311336,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,1,4,12,2,,,,,,,,,,,,,,,,,0,166.2331416103989,None,None,166.2331416103989,None,167.94993885001168,None,167.94993885001168,None,j,1,0.6397789348848164,167.94993885001168,None,None,167.94993885001168,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,1,5,13,7,,,,,,,,,,,,,,,,,0,168.61658230610192,None,None,168.61658230610192,None,170.13350491411984,None,170.13350491411984,None,j,1,0.5582072441466153,170.13350491411984,None,None,170.13350491411984,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,1,6,14,1,,,,,,,,,,,,,,,,,0,170.71684350911528,None,None,170.71684350911528,None,172.31685705529526,None,172.31685705529526,None,j,0,0.5105226640589535,172.31685705529526,None,None,172.31685705529526,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,1,7,15,5,,,,,,,,,,,,,,,,,0,172.84999598795548,None,None,172.84999598795548,None,174.3323120311834,None,174.3323120311834,None,f,1,0.5277306190691888,174.3323120311834,None,None,174.3323120311834,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,2,0,16,5,,,,,,,,,,,,,,,,,0,174.8823139560409,None,None,174.8823139560409,None,176.29997209040448,None,176.29997209040448,None,f,1,0.6022932408377528,176.29997209040448,None,None,176.29997209040448,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,2,1,17,0,,,,,,,,,,,,,,,,,0,176.9332052571699,None,None,176.9332052571699,None,178.40001416299492,None,178.40001416299492,None,j,0,0.7377129453234375,178.40001416299492,None,None,178.40001416299492,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
