runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,prac_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,3,0,3,0,0,1,1,5,,,,,,,,,,,,1,f,1,None,0,221.17020623805,None,,1.910663926973939,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,3,0,3,0,0,2,2,4,,,,,,,,,,,,0,f,1,None,1,228.45358863472939,None,,1.8913837759755552,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,3,0,3,0,0,3,3,2,,,,,,,,,,,,0,j,0,None,1,236.0870396029204,None,,2.5026889452710748,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,3,0,3,0,0,4,4,3,,,,,,,,,,,,1,j,1,space,1,243.73713398585096,None,0.4404949261806905,1.482546143233776,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,3,0,3,0,0,5,5,1,,,,,,,,,,,,0,j,0,None,1,251.12306499108672,None,,1.5634929719381034,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,4,0,4,0,0,0,0,4,,,,,,,,,,,,0,None,0,None,1,274.60456539783627,None,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,4,0,4,0,0,1,1,3,,,,,,,,,,,,1,f,0,None,0,282.0535579966381,None,,1.3803064650855958,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,4,0,4,0,0,2,2,5,,,,,,,,,,,,0,j,1,None,1,289.787472138647,None,,1.131618419662118,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,4,0,4,0,0,3,3,1,,,,,,,,,,,,0,f,1,None,1,297.4214565870352,None,,1.0378337409347296,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,4,0,4,0,0,4,4,2,,,,,,,,,,,,1,f,1,space,1,304.72155735082924,None,0.9148770538158715,1.1736230137757957,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,4,0,4,0,0,5,5,0,,,,,,,,,,,,0,j,1,None,1,312.05505392188206,None,,1.1245594178326428,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,0,351.20517551805824,None,None,351.20517551805824,None,352.93867345293984,None,352.93867345293984,None,f,1,17.55997635424137,352.93867345293984,None,None,352.93867345293984,None,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,0,370.522155276034,None,None,370.522155276034,None,372.22215731069446,None,372.22215731069446,None,f,1,5.9376535369083285,372.22215731069446,None,None,372.22215731069446,None,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,378.18892050068825,None,None,378.18892050068825,None,379.65557286096737,None,379.65557286096737,None,f,0,3.487961543723941,379.65557286096737,None,None,379.65557286096737,None,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,0,383.17219999898225,None,None,383.17219999898225,None,384.8222707109526,None,384.8222707109526,None,f,0,5.355018732137978,384.8222707109526,None,None,384.8222707109526,None,,1,2,2020_Dec_21_1543,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
