runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_resp.rt,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,image_4.started,image_4.stopped,fixpR2,fix_respP2_1.keys,participant,design,position,date,expName,psychopyVersion,frameRate,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,2,5,21,0,,,,,,,,,,,,,,,,,,,,,,,,,0,261.7806244348176,None,None,261.7806244348176,None,263.49731634464115,None,263.49731634464115,None,f,1,0.8097746879793704,263.49731634464115,None,None,263.49731634464115,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,2,6,22,7,,,,,,,,,,,,,,,,,,,,,,,,,0,264.3306506178342,None,None,264.3306506178342,None,266.0137970619835,None,266.0137970619835,None,j,1,0.8064982299692929,266.0137970619835,None,None,266.0137970619835,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,2,7,23,2,,,,,,,,,,,,,,,,,,,,,,,,,1,266.847313108854,None,space,266.847313108854,None,268.197321287822,None,268.197321287822,None,j,1,0.7651712172664702,268.197321287822,None,None,268.197321287822,None,0.5670495377853513,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,3,0,24,1,,,,,,,,,,,,,,,,,,,,,,,,,0,268.9806134258397,None,None,268.9806134258397,None,270.64742116397247,None,270.64742116397247,None,f,1,0.7135648210532963,270.64742116397247,None,None,270.64742116397247,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,3,1,25,3,,,,,,,,,,,,,,,,,,,,,,,,,0,271.38050405588,None,None,271.38050405588,None,272.71405995171517,None,272.71405995171517,None,j,1,0.6841978807933629,272.71405995171517,None,None,272.71405995171517,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,3,2,26,4,,,,,,,,,,,,,,,,,,,,,,,,,0,273.4307750319131,None,None,273.4307750319131,None,275.13080037990585,None,275.13080037990585,None,f,1,0.6340729403309524,275.13080037990585,None,None,275.13080037990585,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,3,3,27,7,,,,,,,,,,,,,,,,,,,,,,,,,0,275.7973509100266,None,None,275.7973509100266,None,277.48075320292264,None,277.48075320292264,None,j,1,0.7488398309797049,277.48075320292264,None,None,277.48075320292264,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,3,4,28,6,,,,,,,,,,,,,,,,,,,,,,,,,1,278.2473843288608,None,space,278.2473843288608,None,279.6140170660801,None,279.6140170660801,None,j,1,0.8256723498925567,279.6140170660801,None,None,279.6140170660801,None,0.689704358112067,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,3,5,29,7,,,,,,,,,,,,,,,,,,,,,,,,,0,280.4640706628561,None,None,280.4640706628561,None,281.9973722738214,None,281.9973722738214,None,j,1,0.7272816859185696,281.9973722738214,None,None,281.9973722738214,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,3,6,30,6,,,,,,,,,,,,,,,,,,,,,,,,,0,282.7468885728158,None,None,282.7468885728158,None,284.39733618171886,None,284.39733618171886,None,j,1,0.5644954522140324,284.39733618171886,None,None,284.39733618171886,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
