X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,fixR1,fix_resp1_1.keys,fix_resp1_1.corr,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.657765,,3,6,30,3,1,
,,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.810135,,3,7,31,6,1,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.59205,,4,0,32,0,1,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,j,1,1.052355,,4,1,33,2,1,0.770455
,,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,f,1,0.8261,,4,2,34,5,1,0.824995
,,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.762325,,4,3,35,6,1,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.936555,,4,4,36,3,1,
,,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.60064,,4,5,37,7,1,
,,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.53511,,4,6,38,4,1,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.69501,,4,7,39,1,1,
,,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,j,1,0.73854,,5,0,40,7,1,0.56231
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.51768,,5,1,41,0,1,
,,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.803245,,5,2,42,5,1,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.77652,,5,3,43,2,1,
,,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.923205,,5,4,44,6,1,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.68846,,5,5,45,1,1,
,,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.510765,,5,6,46,4,1,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,0,0.696965,,5,7,47,3,1,
