runID,imgID,stimLabel,imFile,corr,side,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,text_7.started,text_7.stopped,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,image_4.started,image_4.stopped,fixpR2,fix_respP2_1.keys,prac_fix_resp.rt,fixR2,text_4.started,text_4.stopped,fix_resp2_1.keys,fix_resp2_1.started,fix_resp2_1.stopped,fix_resp2_1.rt,fix_resp_2.rt,image_5.started,image_5.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,,,,,,,,,4,3,19,0,,,,,,,,,,,,,,,,,,,,,,0,251.15229879505932,None,None,251.15229879505932,None,252.83567342511378,None,252.83567342511378,None,f,1,0.5520703250076622,252.83567342511378,None,None,252.83567342511378,None,,,,,,,,,,,,,,,,,,1,1,2020_Nov_29_1017,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,,,,,,,,,5,0,20,2,,,,,,,,,,,,,,,,,,,,,,1,253.4190330991987,None,space,253.4190330991987,None,255.05236480711028,None,255.05236480711028,None,j,1,0.6197310069110245,255.05236480711028,None,None,255.05236480711028,None,0.6370281318668276,,,,,,,,,,,,,,,,,1,1,2020_Nov_29_1017,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,,,,,,,,,5,1,21,0,,,,,,,,,,,,,,,,,,,,,,0,255.7024025511928,None,None,255.7024025511928,None,257.36906417203136,None,257.36906417203136,None,f,1,0.6495217911433429,257.36906417203136,None,None,257.36906417203136,None,,,,,,,,,,,,,,,,,,1,1,2020_Nov_29_1017,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,,,,,,,,,5,2,22,1,,,,,,,,,,,,,,,,,,,,,,0,258.0356979260687,None,None,258.0356979260687,None,259.30236366717145,None,259.30236366717145,None,f,1,0.7966915529686958,259.30236366717145,None,None,259.30236366717145,None,,,,,,,,,,,,,,,,,,1,1,2020_Nov_29_1017,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,,,,,,,,,5,3,23,3,,,,,,,,,,,,,,,,,,,,,,0,260.1189990551211,None,None,260.1189990551211,None,261.78572609322146,None,261.78572609322146,None,j,1,0.5203867710661143,261.78572609322146,None,None,261.78572609322146,None,,,,,,,,,,,,,,,,,,1,1,2020_Nov_29_1017,global_local,2020.2.4,None,
2,3,largeHincon,Stimuli/HofS2.jpg,f,left,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,267.6857960470952,None,267.6857960470952,None,f,1,0.8972939779050648,267.6857960470952,None,None,267.6857960470952,None,,,,,,,0,266.41908499016427,None,None,266.41908499016427,None,,,,,,1,1,2020_Nov_29_1017,global_local,2020.2.4,None,
2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,270.2358633989934,None,270.2358633989934,None,f,1,0.5596875979099423,270.2358633989934,None,None,270.2358633989934,None,,,,,,,0,268.6024701190181,None,None,268.6024701190181,None,,,,,,1,1,2020_Nov_29_1017,global_local,2020.2.4,None,
2,5,largeScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,272.3858495121822,None,272.3858495121822,None,j,1,0.5520114770624787,272.3858495121822,None,None,272.3858495121822,None,,,,,,,0,270.81912890519015,None,None,270.81912890519015,None,,,,,,1,1,2020_Nov_29_1017,global_local,2020.2.4,None,
2,7,largeSincon,Stimuli/SofH2.jpg,j,left,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,274.38581387209706,None,274.38581387209706,None,j,1,0.4466420670505613,274.38581387209706,None,None,274.38581387209706,None,,,,,,,0,272.9691808130592,None,None,272.9691808130592,None,,,,,,1,1,2020_Nov_29_1017,global_local,2020.2.4,None,
2,7,largeSincon,Stimuli/SofH2.jpg,j,left,,,,,,,,,,,,,,,,,,,,,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,276.38581283111125,None,276.38581283111125,None,j,1,0.5283640299458057,276.38581283111125,None,None,276.38581283111125,None,,,,,,,0,274.85254196915776,None,None,274.85254196915776,None,,,,,,1,1,2020_Nov_29_1017,global_local,2020.2.4,None,
