runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,4,1,33,6,,,,,,,,,,,,,,,,,0,219.08202379662544,None,None,1,219.08202379662544,None,220.5819843118079,None,220.5819843118079,None,f,0,1.393021842930466,220.5819843118079,None,None,220.5819843118079,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,4,2,34,0,,,,,,,,,,,,,,,,,0,221.99862727196887,None,None,1,221.99862727196887,None,223.53221355564892,None,223.53221355564892,None,f,1,0.9959355653263628,223.53221355564892,None,None,223.53221355564892,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,4,3,35,7,,,,,,,,,,,,,,,,,1,224.54893667902797,None,space,1,224.54893667902797,None,225.93202811898664,None,225.93202811898664,None,j,1,0.8101256098598242,225.93202811898664,None,None,225.93202811898664,None,0.6272248001769185,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,4,4,36,4,,,,,,,,,,,,,,,,,0,226.76540392870083,None,None,1,226.76540392870083,None,228.34848723001778,None,228.34848723001778,None,f,1,1.3131483858451247,228.34848723001778,None,None,228.34848723001778,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,4,5,37,1,,,,,,,,,,,,,,,,,1,229.68209042586386,None,space,1,229.68209042586386,None,231.16556573659182,None,231.16556573659182,None,f,1,0.6979775228537619,231.16556573659182,None,None,231.16556573659182,None,0.4623175887390971,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,4,6,38,4,,,,,,,,,,,,,,,,,0,231.88184993667528,None,None,1,231.88184993667528,None,233.16533975070342,None,233.16533975070342,None,f,1,1.6274768873117864,233.16533975070342,None,None,233.16533975070342,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,4,7,39,7,,,,,,,,,,,,,,,,,1,234.81580073898658,None,space,1,234.81580073898658,None,236.39877392584458,None,236.39877392584458,None,j,1,1.2106729671359062,236.39877392584458,None,None,236.39877392584458,None,0.7006469699554145,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,5,0,40,3,,,,,,,,,,,,,,,,,0,237.63215354271233,None,None,1,237.63215354271233,None,239.3154754769057,None,239.3154754769057,None,j,1,0.7200844520702958,239.3154754769057,None,None,239.3154754769057,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,5,1,41,4,,,,,,,,,,,,,,,,,0,240.06560839293525,None,None,1,240.06560839293525,None,241.68235055496916,None,241.68235055496916,None,f,1,0.600770128890872,241.68235055496916,None,None,241.68235055496916,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,5,2,42,6,,,,,,,,,,,,,,,,,0,242.3155818209052,None,None,1,242.3155818209052,None,243.96551113994792,None,243.96551113994792,None,j,1,0.6439325548708439,243.96551113994792,None,None,243.96551113994792,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,5,3,43,3,,,,,,,,,,,,,,,,,1,244.6323820487596,None,space,1,244.6323820487596,None,246.3155611618422,None,246.3155611618422,None,j,1,0.7422013869509101,246.3155611618422,None,None,246.3155611618422,None,0.5310088349506259,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,5,4,44,3,,,,,,,,,,,,,,,,,0,247.08233173098415,None,None,1,247.08233173098415,None,248.64892901293933,None,248.64892901293933,None,j,1,0.5728517849929631,248.64892901293933,None,None,248.64892901293933,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,5,5,45,1,,,,,,,,,,,,,,,,,0,249.24879612680525,None,None,1,249.24879612680525,None,250.66543534072116,None,250.66543534072116,None,f,1,0.8633511639200151,250.66543534072116,None,None,250.66543534072116,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,5,6,46,3,,,,,,,,,,,,,,,,,0,251.54910946357995,None,None,1,251.54910946357995,None,252.83234952762723,None,252.83234952762723,None,j,1,0.5909411879256368,252.83234952762723,None,None,252.83234952762723,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,5,7,47,2,,,,,,,,,,,,,,,,,0,253.44911553664133,None,None,1,253.44911553664133,None,254.8325234176591,None,254.8325234176591,None,j,1,0.7545280079357326,254.8325234176591,None,None,254.8325234176591,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
