runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0.05,0.05,28.999577176291496,None,j,1,0.9953691409900784,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2042,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,0,0,0,0,0,0,0,3,,,,,,,,,,,,0,j,1,2.5236657252535224,None,1,39.735119421966374,None,,,,,,,,,,1,2,2020_Dec_28_2042,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,0,0,0,0,0,1,1,5,,,,,,,,,,,,1,f,1,1.1898946007713675,space,1,47.049899355042726,None,1.5319445538334548,,,,,,,,,1,2,2020_Dec_28_2042,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,0,0,0,0,0,2,2,2,,,,,,,,,,,,0,f,1,3.4336664299480617,None,1,54.783295412082225,None,,,,,,,,,,1,2,2020_Dec_28_2042,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,0,0,0,0,0,3,3,1,,,,,,,,,,,,0,j,1,3.0114033021964133,None,1,62.166768135968596,None,,,,,,,,,,1,2,2020_Dec_28_2042,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,0,0,0,0,0,4,4,4,,,,,,,,,,,,1,f,1,2.1894361870363355,None,0,69.93539631320164,None,,,,,,,,,,1,2,2020_Dec_28_2042,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,0,0,0,0,0,5,5,0,,,,,,,,,,,,0,f,1,1.586550252046436,None,1,77.65003033587709,None,,,,,,,,,,1,2,2020_Dec_28_2042,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91.73348274687305,None,None,1,91.73348274687305,None,,,,,,,,
