runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,fix_resp_2.rt,image_4.started,image_4.stopped,text_10.started,text_10.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,1,1,9,1,,,,,,,,,,,,,,,,,0,280.55789260705933,None,None,1,280.55789260705933,None,281.9578641280532,None,281.9578641280532,None,f,1,0.6339107002131641,281.9578641280532,None,None,281.9578641280532,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,1,2,10,5,,,,,,,,,,,,,,,,,1,282.60802457574755,None,space,1,282.60802457574755,None,283.9413842288777,None,283.9413842288777,None,j,0,0.6536001311615109,283.9413842288777,None,None,283.9413842288777,None,0.5950711411423981,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,1,3,11,4,,,,,,,,,,,,,,,,,0,284.6247196388431,None,None,1,284.6247196388431,None,286.3081326796673,None,286.3081326796673,None,f,1,0.5733888600952923,286.3081326796673,None,None,286.3081326796673,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,1,4,12,7,,,,,,,,,,,,,,,,,1,286.90809060493484,None,space,1,286.90809060493484,None,288.3412292357534,None,288.3412292357534,None,j,1,0.7284616129472852,288.3412292357534,None,None,288.3412292357534,None,0.6988562881015241,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,1,5,13,3,,,,,,,,,,,,,,,,,0,289.09127575391904,None,None,1,289.09127575391904,None,290.5078126420267,None,290.5078126420267,None,j,1,1.0527455378323793,290.5078126420267,None,None,290.5078126420267,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,1,6,14,2,,,,,,,,,,,,,,,,,1,291.5912783476524,None,space,1,291.5912783476524,None,292.9748040488921,None,292.9748040488921,None,j,1,0.7334123197942972,292.9748040488921,None,None,292.9748040488921,None,0.5081387776881456,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,1,7,15,5,,,,,,,,,,,,,,,,,0,293.7246384359896,None,None,1,293.7246384359896,None,295.40828624088317,None,295.40828624088317,None,f,1,0.7401539580896497,295.40828624088317,None,None,295.40828624088317,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,2,0,16,7,,,,,,,,,,,,,,,,,0,296.1746719968505,None,None,1,296.1746719968505,None,297.4912951719016,None,297.4912951719016,None,j,1,0.6085204179398715,297.4912951719016,None,None,297.4912951719016,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,2,1,17,3,,,,,,,,,,,,,,,,,0,298.1246646437794,None,None,1,298.1246646437794,None,299.8748149960302,None,299.8748149960302,None,j,1,0.5786316096782684,299.8748149960302,None,None,299.8748149960302,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,2,2,18,1,,,,,,,,,,,,,,,,,0,300.47475642105564,None,None,1,300.47475642105564,None,302.1913841026835,None,302.1913841026835,None,j,0,0.5198104199953377,302.1913841026835,None,None,302.1913841026835,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
