runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0.05,0.05,34.63109724596143,None,f,0,1.2264483841136098,,,,,,,,,1,2,2020_Dec_21_1503,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,0,0,0,0,0,0,0,5,,,,,,,,0,None,0,None,1,47.44960218667984,None,,1,2,2020_Dec_21_1503,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,0,0,0,0,0,1,1,3,,,,,,,,0,None,0,None,1,54.93127111764625,None,,1,2,2020_Dec_21_1503,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,0,0,0,0,0,2,2,2,,,,,,,,1,None,0,None,0,62.414643281605095,None,,1,2,2020_Dec_21_1503,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,0,0,0,0,0,3,3,4,,,,,,,,0,None,0,None,1,70.14801385859028,None,,1,2,2020_Dec_21_1503,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
