runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,feedback_msg.started,feedback_msg.stopped,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,fixpR2,participant,design,position,date,expName,psychopyVersion,frameRate,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,3,6,30,6,,,,,,,,,,,,,,,,,,,,,,,,,0,164.87198611500003,None,None,1,164.87198611500003,None,166.45569431500007,None,166.45569431500007,None,j,1,0.4913343610000993,166.45569431500007,None,None,166.45569431500007,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,3,7,31,6,,,,,,,,,,,,,,,,,,,,,,,,,0,166.9719830250001,None,None,1,166.9719830250001,None,168.62238146100003,None,168.62238146100003,None,j,1,0.30411111099988375,168.62238146100003,None,None,168.62238146100003,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,4,0,32,2,,,,,,,,,,,,,,,,,,,,,,,,,0,168.95552333399996,None,None,1,168.95552333399996,None,170.422343857,None,170.422343857,None,j,1,0.2145072020000498,170.422343857,None,None,170.422343857,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,4,1,33,4,,,,,,,,,,,,,,,,,,,,,,,,,0,170.65545095100015,None,None,1,170.65545095100015,None,172.30573234400003,None,172.30573234400003,None,j,0,0.08607105400005821,172.30573234400003,None,None,172.30573234400003,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,4,2,34,1,,,,,,,,,,,,,,,,,,,,,,,,,0,172.42208602799997,None,None,1,172.42208602799997,None,173.97216681300006,None,173.97216681300006,None,j,0,0.10712512100008098,173.97216681300006,None,None,173.97216681300006,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,4,3,35,2,,,,,,,,,,,,,,,,,,,,,,,,,0,174.1055254370001,None,None,1,174.1055254370001,None,175.77223351199996,None,175.77223351199996,None,j,1,0.2532919960001436,175.77223351199996,None,None,175.77223351199996,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,4,4,36,5,,,,,,,,,,,,,,,,,,,,,,,,,0,176.05580123799996,None,None,1,176.05580123799996,None,177.67239977500003,None,177.67239977500003,None,j,0,0.6258261630000561,177.67239977500003,None,None,177.67239977500003,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,4,5,37,3,,,,,,,,,,,,,,,,,,,,,,,,,0,178.3221196730001,None,None,1,178.3221196730001,None,179.72247544700008,None,179.72247544700008,None,j,1,0.3415487720001238,179.72247544700008,None,None,179.72247544700008,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,4,6,38,6,,,,,,,,,,,,,,,,,,,,,,,,,0,180.08861116900016,None,None,1,180.08861116900016,None,181.63906865400008,None,181.63906865400008,None,j,1,0.5404052210001282,181.63906865400008,None,None,181.63906865400008,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,4,7,39,5,,,,,,,,,,,,,,,,,,,,,,,,,0,182.20560738400013,None,None,1,182.20560738400013,None,183.77246807100005,None,183.77246807100005,None,j,0,0.29681521199995586,183.77246807100005,None,None,183.77246807100005,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
