runID,imgID,stimLabel,imFile,corr,side,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,text_7.started,text_7.stopped,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,image_4.started,image_4.stopped,fixpR2,participant,design,position,date,expName,psychopyVersion,frameRate,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,1,7,15,5,,,,,,,,,,,,,,,,,,,,,,,0,133.1283487599576,None,None,133.1283487599576,None,134.57835685706232,None,134.57835685706232,None,f,1,1.451294832979329,134.57835685706232,None,None,134.57835685706232,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,2,0,16,1,,,,,,,,,,,,,,,,,,,,,,,0,136.06201697397046,None,None,136.06201697397046,None,137.7788926300127,None,137.7788926300127,None,j,0,0.6120506300358102,137.7788926300127,None,None,137.7788926300127,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,2,1,17,3,,,,,,,,,,,,,,,,,,,,,,,0,138.41180792707019,None,None,138.41180792707019,None,139.76193003205117,None,139.76193003205117,None,j,1,0.41365887597203255,139.76193003205117,None,None,139.76193003205117,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,2,2,18,7,,,,,,,,,,,,,,,,,,,,,,,0,140.19543935207184,None,None,140.19543935207184,None,141.71177899104077,None,141.71177899104077,None,j,1,0.5718904220266268,141.71177899104077,None,None,141.71177899104077,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,2,3,19,6,,,,,,,,,,,,,,,,,,,,,,,0,142.31179599196184,None,None,142.31179599196184,None,143.59517727198545,None,143.59517727198545,None,j,1,0.48255176993552595,143.59517727198545,None,None,143.59517727198545,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,2,4,20,6,,,,,,,,,,,,,,,,,,,,,,,1,144.09523957106285,None,space,144.09523957106285,None,145.4118743389845,None,145.4118743389845,None,j,1,0.5464707829523832,145.4118743389845,None,None,145.4118743389845,None,0.9102685910183936,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,2,5,21,5,,,,,,,,,,,,,,,,,,,,,,,0,145.97862767300103,None,None,145.97862767300103,None,147.36204430903308,None,147.36204430903308,None,j,0,0.0024463420268148184,147.36204430903308,None,None,147.36204430903308,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,2,6,22,3,,,,,,,,,,,,,,,,,,,,,,,0,147.39524822996464,None,None,147.39524822996464,None,148.96205909003038,None,148.96205909003038,None,j,1,0.2440908009884879,148.96205909003038,None,None,148.96205909003038,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,2,7,23,3,,,,,,,,,,,,,,,,,,,,,,,0,149.2288201060146,None,None,149.2288201060146,None,150.92858103406616,None,150.92858103406616,None,j,1,0.2989434109767899,150.92858103406616,None,None,150.92858103406616,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,3,0,24,0,,,,,,,,,,,,,,,,,,,,,,,1,151.24533288995735,None,space,151.24533288995735,None,152.77852110902313,None,152.77852110902313,None,j,0,0.12230768497101963,152.77852110902313,None,None,152.77852110902313,None,1.1576487990096211,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,3,1,25,7,,,,,,,,,,,,,,,,,,,,,,,1,152.92883476801217,None,space,152.92883476801217,None,154.6285604990553,None,154.6285604990553,None,j,1,0.29805642599239945,154.6285604990553,None,None,154.6285604990553,None,0.8061170190339908,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,3,2,26,6,,,,,,,,,,,,,,,,,,,,,,,0,154.94525826105382,None,None,154.94525826105382,None,156.56191661895718,None,156.56191661895718,None,j,1,0.7057626009918749,156.56191661895718,None,None,156.56191661895718,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,3,3,27,1,,,,,,,,,,,,,,,,,,,,,,,0,157.29529576806817,None,None,157.29529576806817,None,159.01204279903322,None,159.01204279903322,None,f,1,0.5482165230205283,159.01204279903322,None,None,159.01204279903322,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,3,4,28,2,,,,,,,,,,,,,,,,,,,,,,,0,159.57865541498177,None,None,159.57865541498177,None,161.04542425007094,None,161.04542425007094,None,j,1,0.6157066699815914,161.04542425007094,None,None,161.04542425007094,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
